Local time,Ask,Bid,AskVolume,BidVolume
10.06.2016 08:00:42.433 GMT+0100,6208.87,6208.5,0,0.0001
10.06.2016 08:00:43.055 GMT+0100,6209.48,6209.26,0,0.0003
10.06.2016 08:00:43.157 GMT+0100,6209.47,6208.5,0,0.0001
10.06.2016 08:00:43.358 GMT+0100,6209.47,6209,0,0.0003
10.06.2016 08:00:43.679 GMT+0100,6209.13,6208.5,0,0.0003
10.06.2016 08:00:44.115 GMT+0100,6208.41,6207.8,0,0.0001
10.06.2016 08:00:44.215 GMT+0100,6208.93,6207.93,0,0.0009
10.06.2016 08:00:44.399 GMT+0100,6208.83,6207.83,0,0.0009
10.06.2016 08:00:44.729 GMT+0100,6208.92,6207.92,0,0.0009
10.06.2016 08:00:45.143 GMT+0100,6208.92,6207.92,0,0.0009
10.06.2016 08:00:45.566 GMT+0100,6208.92,6208.8,0,0.0003
10.06.2016 08:00:45.667 GMT+0100,6208.87,6208.5,0,0.0003
10.06.2016 08:00:45.923 GMT+0100,6208.56,6208.42,0,0.0003
10.06.2016 08:00:45.973 GMT+0100,6208.56,6207.7,0,0.0001
10.06.2016 08:00:46.159 GMT+0100,6208.66,6207.7,0,0.0001
10.06.2016 08:00:46.210 GMT+0100,6208.66,6207.8,0,0.0001
10.06.2016 08:00:46.420 GMT+0100,6208.72,6207.8,0,0.0001
10.06.2016 08:00:46.743 GMT+0100,6208.73,6207.8,0,0.0001
10.06.2016 08:00:46.929 GMT+0100,6208.95,6207.95,0,0.0009
10.06.2016 08:00:47.259 GMT+0100,6208.88,6207.88,0,0.0009
10.06.2016 08:00:47.590 GMT+0100,6209.13,6208.13,0,0.0009
10.06.2016 08:00:48.337 GMT+0100,6209.13,6208.3,0,0.0001
10.06.2016 08:00:48.388 GMT+0100,6209.08,6208.3,0,0.0001
10.06.2016 08:00:48.477 GMT+0100,6209.493,6208.08,0,0.0013
10.06.2016 08:00:48.627 GMT+0100,6209.98,6208.98,0,0.0013
10.06.2016 08:00:48.969 GMT+0100,6210.48,6209.48,0,0.0013
10.06.2016 08:00:49.026 GMT+0100,6210.48,6209.48,0,0.0009
10.06.2016 08:00:50.009 GMT+0100,6210.58,6209.58,0,0.0009
10.06.2016 08:00:50.782 GMT+0100,6210.68,6209.68,0,0.0009
10.06.2016 08:00:52.209 GMT+0100,6210.8,6209.8,0,0.0009
10.06.2016 08:00:52.539 GMT+0100,6210.81,6209.81,0,0.0009
10.06.2016 08:00:52.907 GMT+0100,6211.43,6210.43,0,0.0009
10.06.2016 08:00:53.089 GMT+0100,6211.33,6210.33,0,0.0009
10.06.2016 08:00:53.309 GMT+0100,6211.31,6210.31,0,0.0009
10.06.2016 08:00:53.749 GMT+0100,6211.39,6210.39,0,0.0009
10.06.2016 08:00:54.085 GMT+0100,6211.37,6210.37,0,0.0009
10.06.2016 08:00:54.194 GMT+0100,6211.37,6210.37,0,0.0009
10.06.2016 08:00:54.557 GMT+0100,6212.64,6211.64,0.0005,0.0009
10.06.2016 08:00:54.608 GMT+0100,6212.64,6211.64,0.0005,0.0002
10.06.2016 08:00:54.849 GMT+0100,6211.47,6210.47,0,0.0009
10.06.2016 08:00:54.900 GMT+0100,6211.47,6211.19,0,0.0003
10.06.2016 08:00:55.405 GMT+0100,6210.51,6209.51,0,0.0009
10.06.2016 08:00:55.455 GMT+0100,6210.6,6210.5,0,0.0003
10.06.2016 08:00:55.649 GMT+0100,6210.48,6209.5,0,0.0001
10.06.2016 08:00:55.949 GMT+0100,6210.41,6209.5,0,0.0001
10.06.2016 08:00:56.300 GMT+0100,6210.4,6210.217,0,0.0003
10.06.2016 08:00:56.389 GMT+0100,6210.12,6209.5,0,0.0001
10.06.2016 08:00:56.440 GMT+0100,6210.12,6209.2,0,0.0001
10.06.2016 08:00:56.921 GMT+0100,6210.12,6209.12,0,0.0009
10.06.2016 08:00:57.269 GMT+0100,6209.79,6208.79,0,0.0009
10.06.2016 08:00:57.403 GMT+0100,6209.79,6209.497,0,0.0003
10.06.2016 08:00:57.834 GMT+0100,6209.03,6208.93,0,0.0003
10.06.2016 08:00:57.906 GMT+0100,6209.03,6208.5,0,0.0001
10.06.2016 08:00:58.090 GMT+0100,6209.03,6208.3,0,0.0001
10.06.2016 08:00:58.149 GMT+0100,6209.32,6208.32,0,0.0009
10.06.2016 08:00:58.208 GMT+0100,6209.32,6209,0,0.0003
10.06.2016 08:00:58.308 GMT+0100,6209.32,6208.32,0,0.0009
10.06.2016 08:00:58.369 GMT+0100,6209.28,6208.3,0,0.0001
10.06.2016 08:00:58.699 GMT+0100,6209.11,6208.97,0,0.0003
10.06.2016 08:00:59.200 GMT+0100,6208.94,6208,0,0.0001
10.06.2016 08:00:59.909 GMT+0100,6208.92,6208,0,0.0001
10.06.2016 08:01:00.303 GMT+0100,6208.92,6207.92,0.0005,0.0002
10.06.2016 08:01:00.354 GMT+0100,6207.44,6206.7,0,0.0001
10.06.2016 08:01:00.581 GMT+0100,6207.56,6206.7,0,0.0001
10.06.2016 08:01:00.632 GMT+0100,6207.6,6207.42,0,0.0003
10.06.2016 08:01:00.832 GMT+0100,6207.56,6206.7,0,0.0001
10.06.2016 08:01:00.899 GMT+0100,6207.6,6206.7,0,0.0001
10.06.2016 08:01:01.038 GMT+0100,6207.6,6206.9,0,0.0001
10.06.2016 08:01:01.119 GMT+0100,6207.93,6206.93,0,0.0009
10.06.2016 08:01:01.397 GMT+0100,6207.93,6207.71,0,0.0003
10.06.2016 08:01:01.447 GMT+0100,6207.93,6207.7,0,0.0001
10.06.2016 08:01:01.498 GMT+0100,6208,6207.7,0,0.0001
10.06.2016 08:01:01.549 GMT+0100,6208,6207,0,0.0009
10.06.2016 08:01:01.686 GMT+0100,6208.46,6207.46,0,0.0009
10.06.2016 08:01:02.037 GMT+0100,6208.46,6207.8,0,0.0003
10.06.2016 08:01:02.454 GMT+0100,6207.61,6206.7,0,0.0001
10.06.2016 08:01:02.504 GMT+0100,6207.61,6207.437,0,0.0003
10.06.2016 08:01:02.640 GMT+0100,6207.61,6207.3,0,0.0003
10.06.2016 08:01:03.012 GMT+0100,6207.49,6207.263,0,0.0003
10.06.2016 08:01:03.062 GMT+0100,6207.49,6207,0,0.0003
10.06.2016 08:01:03.113 GMT+0100,6207.09,6206.93,0,0.0003
10.06.2016 08:01:03.319 GMT+0100,6207.11,6206.937,0,0.0003
10.06.2016 08:01:03.444 GMT+0100,6207.11,6206.8,0,0.0003
10.06.2016 08:01:03.544 GMT+0100,6207.11,6206.3,0,0.0003
10.06.2016 08:01:03.594 GMT+0100,6207.11,6206.3,0,0.0003
10.06.2016 08:01:03.985 GMT+0100,6206.67,6206.39,0,0.0003
10.06.2016 08:01:04.053 GMT+0100,6206.67,6206.423,0,0.0003
10.06.2016 08:01:04.554 GMT+0100,6206.65,6206.383,0,0.0003
10.06.2016 08:01:04.647 GMT+0100,6206.65,6206.3,0,0.0003
10.06.2016 08:01:04.747 GMT+0100,6206.65,6206.383,0,0.0003
10.06.2016 08:01:05.409 GMT+0100,6206.47,6205.5,0,0.0001
10.06.2016 08:01:05.519 GMT+0100,6206.46,6205.5,0,0.0001
10.06.2016 08:01:06.509 GMT+0100,6206.59,6205.59,0,0.0009
10.06.2016 08:01:06.839 GMT+0100,6206.36,6205.4,0,0.0001
10.06.2016 08:01:07.059 GMT+0100,6206.37,6205.4,0,0.0001
10.06.2016 08:01:07.279 GMT+0100,6206.58,6205.58,0,0.0009
10.06.2016 08:01:07.835 GMT+0100,6206.58,6206,0,0.0003
10.06.2016 08:01:07.939 GMT+0100,6206.24,6205.24,0,0.0009
10.06.2016 08:01:08.270 GMT+0100,6206.24,6205.5,0,0.0001
