Local time,Ask,Bid
22.06.2016 08:00:43.414 GMT+0100,6267.24,6266.24
22.06.2016 08:00:43.949 GMT+0100,6268.02,6266.26
22.06.2016 08:00:44.288 GMT+0100,6267.9,6266.2
22.06.2016 08:00:44.954 GMT+0100,6267.8,6266.4
22.06.2016 08:00:45.394 GMT+0100,6267.743,6266.23
22.06.2016 08:00:45.792 GMT+0100,6267.23,6267
22.06.2016 08:00:45.893 GMT+0100,6266.7,6265.7
22.06.2016 08:00:45.956 GMT+0100,6266.7,6266.3
22.06.2016 08:00:46.273 GMT+0100,6266.74,6266.3
22.06.2016 08:00:46.458 GMT+0100,6266.74,6266
22.06.2016 08:00:46.509 GMT+0100,6266.74,6266.5
22.06.2016 08:00:46.659 GMT+0100,6266.15,6265.15
22.06.2016 08:00:46.876 GMT+0100,6266.1,6265.1
22.06.2016 08:00:46.927 GMT+0100,6266.1,6265.8
22.06.2016 08:00:47.154 GMT+0100,6265.28,6265
22.06.2016 08:00:47.374 GMT+0100,6265.823,6264.47
22.06.2016 08:00:47.704 GMT+0100,6265.8,6264.4
22.06.2016 08:00:48.144 GMT+0100,6265.627,6264.28
22.06.2016 08:00:48.804 GMT+0100,6265.15,6265
22.06.2016 08:00:49.134 GMT+0100,6265.1,6265
22.06.2016 08:00:49.354 GMT+0100,6265.15,6265
22.06.2016 08:00:49.683 GMT+0100,6265.2,6265
22.06.2016 08:00:50.014 GMT+0100,6265.28,6265
22.06.2016 08:00:50.234 GMT+0100,6265.11,6265
22.06.2016 08:00:50.372 GMT+0100,6265.11,6264.11
22.06.2016 08:00:50.453 GMT+0100,6265.03,6264.03
22.06.2016 08:00:50.514 GMT+0100,6265.03,6264.5
22.06.2016 08:00:50.816 GMT+0100,6265.03,6264.3
22.06.2016 08:00:50.874 GMT+0100,6265.03,6264.3
22.06.2016 08:00:51.114 GMT+0100,6264.107,6262.72
22.06.2016 08:00:51.381 GMT+0100,6263.72,6263.5
22.06.2016 08:00:51.444 GMT+0100,6263.917,6262.45
22.06.2016 08:00:51.773 GMT+0100,6263.5,6262.5
22.06.2016 08:00:52.324 GMT+0100,6264.083,6262.65
22.06.2016 08:00:52.660 GMT+0100,6264.11,6262.73
22.06.2016 08:00:53.024 GMT+0100,6264.15,6262.65
22.06.2016 08:00:53.391 GMT+0100,6264.14,6264
22.06.2016 08:00:53.864 GMT+0100,6264.22,6264
22.06.2016 08:00:54.084 GMT+0100,6264.2,6264
22.06.2016 08:00:54.303 GMT+0100,6264.26,6264
22.06.2016 08:00:55.108 GMT+0100,6264.2,6264
22.06.2016 08:00:55.390 GMT+0100,6263.53,6262.53
22.06.2016 08:00:55.539 GMT+0100,6263.53,6263
22.06.2016 08:00:55.691 GMT+0100,6262.78,6261.78
22.06.2016 08:00:55.892 GMT+0100,6262.78,6262.3
22.06.2016 08:00:56.173 GMT+0100,6262.527,6260.78
22.06.2016 08:00:56.394 GMT+0100,6262.6,6262.5
22.06.2016 08:00:56.895 GMT+0100,6263.01,6261.53
22.06.2016 08:00:57.054 GMT+0100,6263.217,6261.65
22.06.2016 08:00:57.398 GMT+0100,6263.483,6262.15
22.06.2016 08:00:57.714 GMT+0100,6263.7,6262.7
22.06.2016 08:00:58.044 GMT+0100,6263.73,6262.73
22.06.2016 08:00:58.501 GMT+0100,6263.73,6263.3
22.06.2016 08:00:58.880 GMT+0100,6263.7,6263
22.06.2016 08:00:58.947 GMT+0100,6262.91,6262.5
22.06.2016 08:00:59.615 GMT+0100,6262.59,6262.3
22.06.2016 08:00:59.715 GMT+0100,6262.59,6261.59
22.06.2016 08:00:59.771 GMT+0100,6262.6,6262.363
22.06.2016 08:00:59.821 GMT+0100,6262.08,6261.5
22.06.2016 08:00:59.872 GMT+0100,6262.1,6262
22.06.2016 08:01:00.072 GMT+0100,6262.08,6261.5
22.06.2016 08:01:00.134 GMT+0100,6261.667,6261.4
22.06.2016 08:01:00.353 GMT+0100,6261,6260.8
22.06.2016 08:01:00.826 GMT+0100,6260.86,6260.76
22.06.2016 08:01:01.013 GMT+0100,6260.92,6260.8
22.06.2016 08:01:01.221 GMT+0100,6260.92,6260
22.06.2016 08:01:01.277 GMT+0100,6260.92,6260.723
22.06.2016 08:01:01.393 GMT+0100,6260.91,6260.5
22.06.2016 08:01:01.564 GMT+0100,6260.3,6258.9
22.06.2016 08:01:01.729 GMT+0100,6259.9,6259.5
22.06.2016 08:01:01.784 GMT+0100,6259.8,6258.4
22.06.2016 08:01:02.003 GMT+0100,6259.56,6258.56
22.06.2016 08:01:02.307 GMT+0100,6259.6,6259.5
22.06.2016 08:01:02.357 GMT+0100,6259.45,6259
22.06.2016 08:01:02.583 GMT+0100,6259.45,6259.3
22.06.2016 08:01:02.784 GMT+0100,6259.45,6258.8
22.06.2016 08:01:02.883 GMT+0100,6258.44,6258.3
22.06.2016 08:01:03.135 GMT+0100,6258.2,6257.5
22.06.2016 08:01:03.286 GMT+0100,6258.2,6257.8
22.06.2016 08:01:03.689 GMT+0100,6257.7,6257.5
22.06.2016 08:01:03.763 GMT+0100,6257.773,6256.32
22.06.2016 08:01:04.136 GMT+0100,6257.32,6257
22.06.2016 08:01:04.643 GMT+0100,6257.14,6257
22.06.2016 08:01:04.864 GMT+0100,6257.24,6257
22.06.2016 08:01:04.966 GMT+0100,6257.68,6256.24
22.06.2016 08:01:05.193 GMT+0100,6257.897,6255.89
22.06.2016 08:01:05.598 GMT+0100,6257.9,6257.8
22.06.2016 08:01:05.743 GMT+0100,6257.74,6257.3
22.06.2016 08:01:05.908 GMT+0100,6257.58,6256.14
22.06.2016 08:01:05.959 GMT+0100,6257.14,6257
22.06.2016 08:01:06.301 GMT+0100,6257.07,6256.97
22.06.2016 08:01:06.403 GMT+0100,6257.25,6255.95
22.06.2016 08:01:06.453 GMT+0100,6256.95,6256.8
22.06.2016 08:01:06.946 GMT+0100,6256.89,6256.5
22.06.2016 08:01:07.252 GMT+0100,6257.297,6255.89
22.06.2016 08:01:07.393 GMT+0100,6257.79,6256.37
22.06.2016 08:01:07.723 GMT+0100,6257.813,6256.44
22.06.2016 08:01:08.163 GMT+0100,6257.8,6256.4
22.06.2016 08:01:08.603 GMT+0100,6257.5,6256.5
22.06.2016 08:01:09.010 GMT+0100,6257.54,6257.3
22.06.2016 08:01:09.060 GMT+0100,6257.587,6256.16
22.06.2016 08:01:09.355 GMT+0100,6257.16,6256.8
22.06.2016 08:01:09.406 GMT+0100,6257.41,6256.8
22.06.2016 08:01:09.519 GMT+0100,6257.41,6257.3
22.06.2016 08:01:09.813 GMT+0100,6257.08,6255.64
22.06.2016 08:01:09.864 GMT+0100,6256.64,6256.3
22.06.2016 08:01:10.058 GMT+0100,6256.64,6255.64
22.06.2016 08:01:10.143 GMT+0100,6256.37,6255.5
22.06.2016 08:01:10.224 GMT+0100,6256.37,6256
22.06.2016 08:01:11.021 GMT+0100,6255.57,6255.47
22.06.2016 08:01:11.353 GMT+0100,6255.817,6254.45
22.06.2016 08:01:11.615 GMT+0100,6255.923,6254.47
22.06.2016 08:01:12.014 GMT+0100,6256.22,6255.22
22.06.2016 08:01:12.380 GMT+0100,6255.95,6254.95
22.06.2016 08:01:12.783 GMT+0100,6256.06,6255.96
22.06.2016 08:01:13.069 GMT+0100,6256.06,6255.8
22.06.2016 08:01:13.119 GMT+0100,6255.91,6255.8
22.06.2016 08:01:13.383 GMT+0100,6255.94,6255.8
